TAHUN,KECAMATAN,KOMODITAS,LUAS_PANEN,PRODUKSI,PRODUKTIVITAS
"2023,HAURGEULIS,PADI,""9,232.00"",""57,472.20"",6.23"
2023,HAURGEULIS,BAWANG MERAH,0.00,0.00,0.00
2023,HAURGEULIS,CABAI BESAR,3.00,15.00,5.00
2023,HAURGEULIS,CABAI RAWIT,1.00,8.00,8.00
2023,HAURGEULIS,KACANG PANJANG,1.00,35.00,35.00
2023,HAURGEULIS,KETIMUN,1.00,269.00,269.00
2023,HAURGEULIS,SEMANGKA,0.00,0.00,0.00
2023,HAURGEULIS,TOMAT,0.00,0.00,0.00
"2023,GANTAR,PADI,""21,242.00"",""111,987.80"",5.27"
2023,GANTAR,BAWANG MERAH,0.00,0.00,0.00
"2023,GANTAR,CABAI BESAR,608.00,""7,045.00"",11.59"
2023,GANTAR,CABAI RAWIT,0.00,0.00,0.00
2023,GANTAR,KACANG PANJANG,3.00,18.00,6.00
2023,GANTAR,KETIMUN,3.00,8.00,2.67
2023,GANTAR,SEMANGKA,7.00,210.00,30.00
2023,GANTAR,TOMAT,0.00,0.00,0.00
"2023,KROYA,PADI,""13,832.00"",""76,685.80"",5.54"
2023,KROYA,BAWANG MERAH,0.00,0.00,0.00
2023,KROYA,CABAI BESAR,65.00,465.00,7.15
2023,KROYA,CABAI RAWIT,0.00,0.00,0.00
2023,KROYA,KACANG PANJANG,12.00,95.00,7.92
2023,KROYA,KETIMUN,12.00,79.00,6.58
2023,KROYA,SEMANGKA,0.00,0.00,0.00
2023,KROYA,TOMAT,0.10,0.00,0.00
"2023,GABUSWETAN,PADI,""11,900.00"",""76,755.00"",6.45"
"2023,GABUSWETAN,BAWANG MERAH,40.00,""4,276.00"",106.90"
2023,GABUSWETAN,CABAI BESAR,8.00,42.00,5.25
2023,GABUSWETAN,CABAI RAWIT,2.00,15.00,7.50
2023,GABUSWETAN,KACANG PANJANG,8.00,198.00,24.75
2023,GABUSWETAN,KETIMUN,5.00,58.00,11.60
2023,GABUSWETAN,SEMANGKA,3.00,3.00,1.00
