TAHUN,KECAMATAN,KOMODITAS,LUAS_PANEN,PRODUKSI,PRODUKTIVITAS
"2024,HAURGEULIS,PADI,""8,317.00"",""50,033.30"",60.16"
2024,HAURGEULIS,BAWANG MERAH,0.00,0.00,0.00
2024,HAURGEULIS,CABAI BESAR,0.00,0.00,0.00
2024,HAURGEULIS,CABAI RAWIT,1.46,411.87,282.10
2024,HAURGEULIS,KACANG PANJANG,1.11,358.70,323.15
"2024,HAURGEULIS,KETIMUN,2.80,""2,858.10"",1020.75"
2024,HAURGEULIS,SEMANGKA,0.00,0.00,0.00
2024,HAURGEULIS,TOMAT,0.00,0.00,0.00
"2024,GANTAR,PADI,""21,271.00"",""135,908.47"",63.89"
2024,GANTAR,BAWANG MERAH,0.00,0.00,0.00
"2024,GANTAR,CABAI BESAR,245.00,""22,000.00"",89.80"
2024,GANTAR,CABAI RAWIT,5.50,800.00,145.45
2024,GANTAR,KACANG PANJANG,4.00,400.00,100.00
2024,GANTAR,KETIMUN,2.50,500.00,200.00
2024,GANTAR,SEMANGKA,1.00,100.00,100.00
2024,GANTAR,TOMAT,1.50,150.00,100.00
"2024,KROYA,PADI,""7,920.00"",""56,106.47"",70.84"
2024,KROYA,BAWANG MERAH,0.50,80.00,160.00
"2024,KROYA,CABAI BESAR,67.07,""2,970.00"",44.28"
2024,KROYA,CABAI RAWIT,0.00,0.00,0.00
"2024,KROYA,KACANG PANJANG,44.42,""4,216.00"",94.91"
2024,KROYA,KETIMUN,5.00,500.00,100.00
2024,KROYA,SEMANGKA,1.50,250.00,166.67
2024,KROYA,TOMAT,0.50,62.00,124.00
"2024,GABUSWETAN,PADI,""11,245.00"",""80,546.90"",71.63"
"2024,GABUSWETAN,BAWANG MERAH,17.50,""1,251.00"",71.49"
2024,GABUSWETAN,CABAI BESAR,4.50,494.00,109.78
2024,GABUSWETAN,CABAI RAWIT,1.80,358.00,198.89
2024,GABUSWETAN,KACANG PANJANG,5.00,304.00,60.80
2024,GABUSWETAN,KETIMUN,2.50,33.00,13.20
2024,GABUSWETAN,SEMANGKA,1.50,300.00,200.00
2024,GABUSWETAN,TOMAT,5.20,214.00,41.15
"2024,CIKEDUNG,PADI,""10,713.00"",""80,042.22"",74.72"
2024,CIKEDUNG,BAWANG MERAH,0.00,0.00,0.00
2024,CIKEDUNG,CABAI BESAR,0.00,0.00,0.00
2024,CIKEDUNG,CABAI RAWIT,0.00,0.00,0.00
2024,CIKEDUNG,KACANG PANJANG,5.00,600.00,120.00
2024,CIKEDUNG,KETIMUN,4.00,600.00,150.00
2024,CIKEDUNG,SEMANGKA,0.00,0.00,0.00
2024,CIKEDUNG,TOMAT,0.00,0.00,0.00
"2024,TERISI,PADI,""12,557.00"",""70,323.68"",56.00"
2024,TERISI,BAWANG MERAH,0.00,0.00,0.00
2024,TERISI,CABAI BESAR,2.00,125.00,62.50
2024,TERISI,CABAI RAWIT,0.00,0.00,0.00
2024,TERISI,KACANG PANJANG,3.00,256.00,85.33
2024,TERISI,KETIMUN,3.00,140.00,46.67
2024,TERISI,SEMANGKA,0.00,0.00,0.00
2024,TERISI,TOMAT,5.00,0.00,0.00
"2024,LELEA,PADI,""11,098.00"",""138,670.34"",124.95"
2024,LELEA,BAWANG MERAH,0.00,0.00,0.00
2024,LELEA,CABAI BESAR,0.00,0.00,0.00
2024,LELEA,CABAI RAWIT,0.00,0.00,0.00
2024,LELEA,KACANG PANJANG,1.00,120.00,120.00
2024,LELEA,KETIMUN,1.00,150.00,150.00
2024,LELEA,SEMANGKA,0.00,0.00,0.00
2024,LELEA,TOMAT,0.00,0.00,0.00
"2024,BANGODUA,PADI,""6,438.00 "",""47,573.37"",73.89"
"2024,BANGODUA,BAWANG MERAH,19.00,""1,180.00"",62.11"
"2024,BANGODUA,CABAI BESAR,18.00,""1,400.00"",77.78"
2024,BANGODUA,CABAI RAWIT,0.00,0.00,0.00
"2024,BANGODUA,KACANG PANJANG,16.00,""2,322.00"",145.13"
2024,BANGODUA,KETIMUN,14.00,744.00,53.14
2024,BANGODUA,SEMANGKA,0.00,0.00,0.00
2024,BANGODUA,TOMAT,8.00,329.00,41.13
"2024,TUKDANA,PADI,""7,786.00"",""60,071"",77.15"
2024,TUKDANA,BAWANG MERAH,0.00,0.00,0.00
2024,TUKDANA,CABAI BESAR,0.00,0.00,0.00
2024,TUKDANA,CABAI RAWIT,0.00,0.00,0.00
2024,TUKDANA,KACANG PANJANG,3.00,640.00,213.33
"2024,TUKDANA,KETIMUN,9.00,""1,400.00"",155.56"
2024,TUKDANA,SEMANGKA,0.00,0.00,0.00
2024,TUKDANA,TOMAT,0.00,0.00,0.00
"2024,WIDASARI,PADI,""5,712.00"",""43,083.10"",75.43"
2024,WIDASARI,BAWANG MERAH,2.50,214.00,85.60
"2024,WIDASARI,CABAI BESAR,14.00,""3,240.00"",231.43"
2024,WIDASARI,CABAI RAWIT,1.00,191.00,191.00
2024,WIDASARI,KACANG PANJANG,1.50,439.00,292.67
2024,WIDASARI,KETIMUN,0.50,148.50,297.00
2024,WIDASARI,SEMANGKA,0.00,0.00,0.00
2024,WIDASARI,TOMAT,3.00,788.00,262.67
"2024,KERTASEMAYA,PADI,""5,760.00"",""42,900.23"",74.48"
2024,KERTASEMAYA,BAWANG MERAH,0.00,0.00,0.00
2024,KERTASEMAYA,CABAI BESAR,5.25,211.00,40.19
2024,KERTASEMAYA,CABAI RAWIT,3.00,27.00,9.00
2024,KERTASEMAYA,KACANG PANJANG,1.50,120.00,80.00
2024,KERTASEMAYA,KETIMUN,2.00,310.00,155.00
2024,KERTASEMAYA,SEMANGKA,0.00,0.00,0.00
2024,KERTASEMAYA,TOMAT,4.50,478.00,106.22
"2024,SUKAGUMIWANG,PADI,""5,140.00"",""36,704.13"",71.41"
2024,SUKAGUMIWANG,BAWANG MERAH,0.00,0.00,0.00
2024,SUKAGUMIWANG,CABAI BESAR,5.18,549.00,105.98
2024,SUKAGUMIWANG,CABAI RAWIT,4.69,607.50,129.53
2024,SUKAGUMIWANG,KACANG PANJANG,4.10,445.00,108.54
"2024,SUKAGUMIWANG,KETIMUN,22.00,""1,490.00"",67.73"
2024,SUKAGUMIWANG,SEMANGKA,0.00,0.00,0.00
2024,SUKAGUMIWANG,TOMAT,0.00,0.00,0.00
"2024,KRANGKENG,PADI,""4,998.00"",""38,107.96"",76.25"
"2024,KRANGKENG,BAWANG MERAH,62.50,""3,320.00"",53.12"
2024,KRANGKENG,CABAI BESAR,0.00,0.00,0.00
2024,KRANGKENG,CABAI RAWIT,7.42,387.00,52.16
2024,KRANGKENG,KACANG PANJANG,7.13,203.00,28.47
2024,KRANGKENG,KETIMUN,6.87,232.00,33.77
2024,KRANGKENG,SEMANGKA,7.21,257.00,35.64
2024,KRANGKENG,TOMAT,0.00,0.00,0.00
"2024,KARANGAMPEL,PADI,""3,707.00 "",""25,774.01 "",69.53"
2024,KARANGAMPEL,BAWANG MERAH,1.33 ,91.25 ,68.61
2024,KARANGAMPEL,CABAI BESAR,1.57 ,133.71 ,85.17
2024,KARANGAMPEL,CABAI RAWIT,0.79 ,138.31 ,175.08
2024,KARANGAMPEL,KACANG PANJANG,1.79 ,91.15 ,50.92
2024,KARANGAMPEL,KETIMUN,0.00 ,0.00 ,0.00
2024,KARANGAMPEL,SEMANGKA,0.72 ,52.40 ,72.78
2024,KARANGAMPEL,TOMAT,1.00 ,149.25 ,149.25
"2024,KEDOKANBUNDER,PADI,""4,631.00 "",""34,511.12 "",74.52"
2024,KEDOKANBUNDER,BAWANG MERAH,0.00 ,0.00 ,0.00
2024,KEDOKANBUNDER,CABAI BESAR,11.00 ,792.00 ,72.00
"2024,KEDOKANBUNDER,CABAI RAWIT,12.00 ,""1,047.00 "",87.25"
2024,KEDOKANBUNDER,KACANG PANJANG,28.00 ,548.00 ,19.57
2024,KEDOKANBUNDER,KETIMUN,19.00 ,404.00 ,21.26
2024,KEDOKANBUNDER,SEMANGKA,3.00 ,240.00 ,80.00
"2024,KEDOKANBUNDER,TOMAT,11.00 ,""1,674.00 "",152.18"
"2024,JUNTINYUAT,PADI,""7,663.00 "",""58,068.11 "",75.78"
"2024,JUNTINYUAT,BAWANG MERAH,7.10 ,""1,030.00 "",145.07"
2024,JUNTINYUAT,CABAI BESAR,0.50 ,118.00 ,236.00
2024,JUNTINYUAT,CABAI RAWIT,2.10 ,185.00 ,88.10
2024,JUNTINYUAT,KACANG PANJANG,16.30 ,595.00 ,36.50
2024,JUNTINYUAT,KETIMUN,9.50 ,545.00 ,57.37
2024,JUNTINYUAT,SEMANGKA,4.50 ,400.00 ,88.89
2024,JUNTINYUAT,TOMAT,14.70 ,845.00 ,57.48
"2024,SLIYEG,PADI,""8,518.00 "",""60,881.09 "",71.47"
2024,SLIYEG,BAWANG MERAH,0.00 ,0.00 ,0.00
2024,SLIYEG,CABAI BESAR,0.00 ,0.00 ,0.00
"2024,SLIYEG,CABAI RAWIT,32.00 ,""3,490.00 "",109.06"
"2024,SLIYEG,KACANG PANJANG,41.00 ,""4,315.00 "",105.24"
"2024,SLIYEG,KETIMUN,35.00 ,""3,870.00 "",110.57"
2024,SLIYEG,SEMANGKA,0.00 ,0.00 ,0.00
2024,SLIYEG,TOMAT,0.00 ,0.00 ,0.00
"2024,JATIBARANG,PADI,""5,440.00 "",""38,650.65 "",71.05"
2024,JATIBARANG,BAWANG MERAH,0.75 ,11.30 ,15.07
2024,JATIBARANG,CABAI BESAR,0.00 ,0.00 ,0.00
2024,JATIBARANG,CABAI RAWIT,0.00 ,0.00 ,0.00
2024,JATIBARANG,KACANG PANJANG,0.00 ,0.00 ,0.00
2024,JATIBARANG,KETIMUN,0.00 ,0.00 ,0.00
2024,JATIBARANG,SEMANGKA,0.00 ,0.00 ,0.00
2024,JATIBARANG,TOMAT,0.00 ,0.00 ,0.00
"2024,BALONGAN,PADI,""3,902.00 "",""28,845.80 "",73.93"
2024,BALONGAN,BAWANG MERAH,2.99 ,240.00 ,80.27
2024,BALONGAN,CABAI BESAR,0.00 ,0.00 ,0.00
2024,BALONGAN,CABAI RAWIT,0.78 ,43.00 ,55.13
2024,BALONGAN,KACANG PANJANG,0.14 ,2.00 ,14.29
2024,BALONGAN,KETIMUN,0.00 ,0.00 ,0.00
2024,BALONGAN,SEMANGKA,0.85 ,62.00 ,72.94
2024,BALONGAN,TOMAT,0.00 ,0.00 ,0.00
2024,INDRAMAYU,PADI,2905.00,21540.60,74.15
2024,INDRAMAYU,BAWANG MERAH,0.00,0.00,0.00
2024,INDRAMAYU,CABAI BESAR,0.00,0.00,0.00
2024,INDRAMAYU,CABAI RAWIT,0.50,39.00,78.00
2024,INDRAMAYU,KACANG PANJANG,4.00,16.00,4.00
2024,INDRAMAYU,KETIMUN,3.00,6.00,2.00
2024,INDRAMAYU,SEMANGKA,4.00,204.00,51.00
2024,INDRAMAYU,TOMAT,1.50 ,3.00,2.00
"2024,SINDANG,PADI,""4,326.00 "",""32,156.34 "",74.33"
2024,SINDANG,BAWANG MERAH,0.00 ,0.00 ,0.00
2024,SINDANG,CABAI BESAR,0.00 ,0.00 ,0.00
2024,SINDANG,CABAI RAWIT,0.00 ,0.00 ,0.00
2024,SINDANG,KACANG PANJANG,0.00 ,0.00 ,0.00
2024,SINDANG,KETIMUN,0.00 ,0.00 ,0.00
2024,SINDANG,SEMANGKA,0.00 ,0.00 ,0.00
2024,SINDANG,TOMAT,0.00 ,0.00 ,0.00
"2024,CANTIGI,PADI,""3,274.00 "",""20,799.81 "",63.53"
2024,CANTIGI,BAWANG MERAH,0.00 ,0.00 ,0.00
2024,CANTIGI,CABAI BESAR,0.00 ,0.00 ,0.00
2024,CANTIGI,CABAI RAWIT,3.37 ,19.02 ,5.64
2024,CANTIGI,KACANG PANJANG,0.50 ,6.00 ,12.00
2024,CANTIGI,KETIMUN,0.00 ,0.00 ,0.00
2024,CANTIGI,SEMANGKA,6.00 ,855.00 ,142.50
2024,CANTIGI,TOMAT,1.10 ,4.00 ,3.64
"2024,PASEKAN,PADI,""1,794.00 "",""13,012.38 "",72.53"
2024,PASEKAN,BAWANG MERAH,0.00 ,0.00 ,0.00
2024,PASEKAN,CABAI BESAR,1.00 ,129.00 ,129.00
